User_ID_x,14413370,15614582,15800697,15995683,17237178,18204607,19142551,20004501,20812098,21415068,23636341,23846387,24487817,24688850,25437536,25564023,28152598,33214161,33760345,43405249,48124610,51716011,52658734,62697366,64687084,65992273,78897887,89090775,101945848,117511000,119182046,137455850,159605210,162959947,167489997,168819220,226168436,258916333,263977418,264595508,282269124,287016103,308212534,320915056,328457935,329137978,330759494,343042963,343529731,344918904,348255536,368623629,376370548,436894497,477889371,480018197,544927839,551509847,552178363,576796855,597865491,614730516,790546093,838627057,863113304,884893716,887569722,903122724,923641921,944224682,984614636,1129745845,1149353412,1172143405,1210753874,1241691530,1255179128,1260736442,1340063743,1438949354,1552520972,1656884071,1861023685,1871547854,1883333624,1913188200,2174118859,2251286285,2256745548,2455822425,2485769186,2485800912,2559582960,2571878965,2586164682,2692397982,2869972938,2903194852,2904695183,2908458650,2915583070,3000911754,3035800695,3042242150,3053054433,3107967905,3152225155,3153280458,3158661520,3166924179,3169035458,3170681876,3193043938,3214786827,3243175638,3243741217,3243962811,3351115882
21415068,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23636341,6,2,2,3,238,0,2,3,20,0,0,0,27,1,102,254,1,5,2,0,4,4,4,53,1,25,36,4,113,1,194,15,1,5,103,0,6,4,65,5,11,0,4,0,7,0,17,9,1,14,2,0,4,2,283,4,4,15,6,83,2,359,12,324,4,7,4,5,0,4,16,0,1,0,2,4,11,0,1,0,1,4,0,14,0,0,79,4,4,9,6,7,3,1,43,2,26,255,4,0,1,1,0,1,89,0,1,47,13,36,417,29,94,1,135,0,3,4
23846387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24487817,0,0,0,0,5,0,1,0,0,0,27,0,0,0,14,15,0,0,0,0,0,0,0,2,0,4,5,0,7,0,11,0,0,0,6,0,0,0,7,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,11,0,0,2,0,6,0,10,0,17,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,4,1,1,1,1,0,1,0,1,18,0,0,0,0,0,0,4,0,0,6,0,1,19,1,5,0,5,0,0,0
24688850,43,0,102,133,1,47,2,52,0,0,1,0,0,0,38,12,12,0,0,46,231,0,124,10,1,3,9,201,0,102,5,23,4,4,14,0,42,100,2,146,3,42,71,1,117,63,5,271,1,80,2,58,116,24,0,96,0,54,3,5,21,1,13,1,77,387,106,87,13,65,4,0,127,0,0,364,238,0,1,0,0,176,0,21,0,0,7,366,0,1,0,0,31,0,4,55,1,10,4,6,1,7,0,13,0,0,4,2,1,0,3,0,0,6,0,57,0,35
25437536,20,0,32,19,25,8,11,16,18,0,102,3,14,38,0,288,3,7,1,10,53,3,21,63,6,123,101,54,19,30,174,49,4,5,352,2,53,2,123,26,30,1,34,0,28,12,76,95,2,191,7,12,15,5,34,25,1,72,24,135,21,43,11,88,21,41,35,10,1,5,27,0,18,0,0,30,156,0,0,0,0,44,5,23,0,0,140,37,5,15,4,5,10,2,122,9,113,354,4,0,1,3,3,2,32,0,0,174,7,5,176,12,25,0,28,3,6,3
25564023,10,0,15,7,54,3,5,8,30,0,254,0,15,12,288,0,3,5,0,1,20,6,9,35,3,95,68,19,64,17,251,12,1,3,333,0,25,4,128,9,40,1,12,0,15,5,48,29,1,65,0,5,11,4,110,7,0,55,12,129,6,108,9,147,8,15,10,5,3,4,48,0,6,0,1,15,53,0,1,0,0,15,3,37,0,0,161,17,2,11,6,8,4,3,118,3,81,443,2,0,0,1,3,4,55,0,0,227,6,12,375,13,42,0,63,2,1,6
28152598,9,0,16,15,1,8,0,6,0,0,1,0,0,12,3,3,0,0,0,13,16,0,16,0,0,1,0,17,0,19,1,5,0,1,2,0,9,3,0,10,0,4,20,0,11,10,1,33,0,9,1,4,15,4,1,25,1,5,1,1,4,0,1,1,20,22,33,17,5,11,0,0,27,0,0,16,21,0,0,0,0,16,0,0,0,0,2,31,0,0,0,0,6,0,0,14,0,1,0,2,1,2,0,4,0,0,0,1,0,0,0,0,0,0,0,10,0,14
33214161,0,0,1,0,0,0,1,0,6,0,5,0,0,0,7,5,0,0,0,0,0,0,0,3,0,7,2,0,0,0,6,1,0,0,11,0,2,1,5,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,1,0,0,2,1,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,4,0,0,0,0,0,0,0,1,0,2,6,0,0,0,0,0,0,2,0,0,2,0,0,3,2,1,0,0,0,0,1
33760345,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
