Base Noun,Frequency (based on tweets),Polarity Positive(%),Polarity Negative (%),User_ID
williams,4,0.0,100.0,2869158160
williams,4,0.0,100.0,2869158160
williams,4,0.0,100.0,887569722
charity,2,100.0,0.0,457123526
charity,2,100.0,0.0,457123526
aflcio,1,0.0,100.0,16579411
extremist,1,0.0,100.0,20415005
mussolini,1,0.0,100.0,178863237
enemy,7,0.0,100.0,553480874
enemy,7,0.0,100.0,27944341
enemy,7,0.0,100.0,753498337
enemy,7,0.0,100.0,753498337
enemy,7,0.0,100.0,565501978
enemy,7,0.0,100.0,27944341
enemy,7,0.0,100.0,2447898228
real,1,100.0,0.0,56838981
disaster,9,0.0,100.0,2830642691
disaster,9,0.0,100.0,2373807873
disaster,9,0.0,100.0,565501978
disaster,9,0.0,100.0,2373807873
disaster,9,0.0,100.0,28387976
disaster,9,0.0,100.0,20415005
disaster,9,0.0,100.0,863113304
disaster,9,0.0,100.0,2447898228
disaster,9,0.0,100.0,34955929
english,3,0.0,100.0,16579411
english,3,0.0,100.0,16579411
english,3,0.0,100.0,2447898228
everybody,2,50.0,50.0,80605638
everybody,2,50.0,50.0,603741920
buisnessman,1,0.0,100.0,30980826
transparency,2,50.0,50.0,48240104
transparency,2,50.0,50.0,28387976
cells,1,0.0,100.0,33831682
end,11,0.0,100.0,107801651
end,11,0.0,100.0,75011877
end,11,0.0,100.0,553480874
end,11,0.0,100.0,27944341
end,11,0.0,100.0,107801651
end,11,0.0,100.0,107801651
end,11,0.0,100.0,565501978
end,11,0.0,100.0,565501978
end,11,0.0,100.0,553480874
end,11,0.0,100.0,33831682
end,11,0.0,100.0,553480874
losers,16,0.0,100.0,20415005
losers,16,0.0,100.0,3311276608
losers,16,0.0,100.0,3311276608
losers,16,0.0,100.0,16579411
losers,16,0.0,100.0,887569722
losers,16,0.0,100.0,2447898228
losers,16,0.0,100.0,33831682
losers,16,0.0,100.0,33831682
losers,16,0.0,100.0,92643660
losers,16,0.0,100.0,33831682
losers,16,0.0,100.0,33831682
losers,16,0.0,100.0,92643660
losers,16,0.0,100.0,33831682
losers,16,0.0,100.0,92643660
losers,16,0.0,100.0,33831682
losers,16,0.0,100.0,33831682
ratched,1,0.0,100.0,92643660
confirmation,2,0.0,100.0,56838981
confirmation,2,0.0,100.0,2447898228
attorney,4,0.0,100.0,553480874
attorney,4,0.0,100.0,553480874
attorney,4,0.0,100.0,33831682
attorney,4,0.0,100.0,33831682
rocker,2,0.0,100.0,16579411
rocker,2,0.0,100.0,16579411
teamcavuto,3,33.33333333333333,66.66666666666666,16579411
teamcavuto,3,33.33333333333333,66.66666666666666,34955929
teamcavuto,3,33.33333333333333,66.66666666666666,2447898228
detention,1,0.0,100.0,553480874
chrislhayes,1,0.0,100.0,553480874
booger,2,0.0,100.0,33831682
booger,2,0.0,100.0,33831682
wrong,7,0.0,100.0,56838981
wrong,7,0.0,100.0,753498337
wrong,7,0.0,100.0,16579411
wrong,7,0.0,100.0,457123526
wrong,7,0.0,100.0,457123526
wrong,7,0.0,100.0,457123526
wrong,7,0.0,100.0,92643660
caucus,1,100.0,0.0,224333112
cares,1,100.0,0.0,34955929
brainwashing,1,0.0,100.0,16579411
celebration,1,100.0,0.0,2421964502
saynotolibmobs,1,0.0,100.0,56838981
100s,1,0.0,100.0,56838981
contractor,1,0.0,100.0,193192630
confrontation,1,0.0,100.0,16579411
sharks,1,0.0,100.0,2502484436
culprits,1,0.0,100.0,56838981
constituencies,1,0.0,100.0,553480874
excesses,1,0.0,100.0,16579411
dr,1,0.0,100.0,56838981
ks,2,0.0,100.0,56838981
ks,2,0.0,100.0,56838981
aca,3,0.0,100.0,753498337
aca,3,0.0,100.0,16579411
aca,3,0.0,100.0,16579411
ethiopia,1,0.0,100.0,20415005
nomorals,1,0.0,100.0,2869158160
retard,2,0.0,100.0,92643660
retard,2,0.0,100.0,33831682
pantsuit,1,0.0,100.0,616303472
blow,1,0.0,100.0,20415005
points,3,33.33333333333333,66.66666666666666,863113304
points,3,33.33333333333333,66.66666666666666,20415005
points,3,33.33333333333333,66.66666666666666,34955929
serta,1,100.0,0.0,1659062558
yippy,1,0.0,100.0,33831682
fartheads,1,0.0,100.0,33831682
facilitating,1,0.0,100.0,20415005
beings,2,0.0,100.0,553480874
beings,2,0.0,100.0,39106123
greenhousefect,1,0.0,100.0,1659062558
crackdown,1,0.0,100.0,33831682
vehicle,2,0.0,100.0,16077441
vehicle,2,0.0,100.0,16077441
constituents,1,0.0,100.0,553480874
articles,2,0.0,100.0,80605638
articles,2,0.0,100.0,1659062558
irandeal,4,0.0,100.0,1616176478
irandeal,4,0.0,100.0,863113304
irandeal,4,0.0,100.0,863113304
irandeal,4,0.0,100.0,107801651
nihilists,1,0.0,100.0,553480874
rockers,2,0.0,100.0,16579411
rockers,2,0.0,100.0,16579411
division,1,0.0,100.0,33831682
priority,1,0.0,100.0,565501978
pdt,16,0.0,100.0,553480874
pdt,16,0.0,100.0,553480874
pdt,16,0.0,100.0,553480874
pdt,16,0.0,100.0,553480874
pdt,16,0.0,100.0,553480874
pdt,16,0.0,100.0,553480874
pdt,16,0.0,100.0,553480874
pdt,16,0.0,100.0,553480874
pdt,16,0.0,100.0,553480874
pdt,16,0.0,100.0,553480874
pdt,16,0.0,100.0,553480874
pdt,16,0.0,100.0,553480874
pdt,16,0.0,100.0,553480874
pdt,16,0.0,100.0,553480874
