Base Noun,Frequency (based on tweets),Polarity Positive(%),Polarity Negative (%),User_ID
rockprincess818,3,66.66666666666666,33.33333333333333,753498337
rockprincess818,3,66.66666666666666,33.33333333333333,33831682
oprah,1,0.0,100.0,56838981
language,6,16.666666666666664,83.33333333333334,3311276608
language,6,16.666666666666664,83.33333333333334,16579411
language,6,16.666666666666664,83.33333333333334,20415005
language,6,16.666666666666664,83.33333333333334,20415005
language,6,16.666666666666664,83.33333333333334,2447898228
language,6,16.666666666666664,83.33333333333334,2447898228
hole,15,0.0,100.0,56838981
hole,15,0.0,100.0,16579411
hole,15,0.0,100.0,1430129144
hole,15,0.0,100.0,565501978
hole,15,0.0,100.0,565501978
hole,15,0.0,100.0,565501978
hole,15,0.0,100.0,2447898228
hole,15,0.0,100.0,863113304
hole,15,0.0,100.0,33831682
hole,15,0.0,100.0,33831682
hole,15,0.0,100.0,33831682
hole,15,0.0,100.0,33831682
hole,15,0.0,100.0,33831682
hole,15,0.0,100.0,33831682
hole,15,0.0,100.0,33831682
hearings,1,0.0,100.0,553480874
charts,1,0.0,100.0,20415005
stocks,1,0.0,100.0,457123526
trafficking,1,0.0,100.0,193192630
star,3,100.0,0.0,457123526
star,3,100.0,0.0,34955929
star,3,100.0,0.0,34955929
denial,4,0.0,100.0,56838981
denial,4,0.0,100.0,863113304
denial,4,0.0,100.0,2421964502
denial,4,0.0,100.0,87878811
buddies,2,0.0,100.0,56838981
buddies,2,0.0,100.0,16579411
fnc,4,50.0,50.0,863113304
fnc,4,50.0,50.0,2447898228
fnc,4,50.0,50.0,2447898228
fnc,4,50.0,50.0,2447898228
gore,2,0.0,100.0,33831682
gore,2,0.0,100.0,33831682
spending,1,0.0,100.0,33831682
morning,3,100.0,0.0,48240104
morning,3,100.0,0.0,457123526
morning,3,100.0,0.0,863113304
warrior,3,66.66666666666666,33.33333333333333,34955929
warrior,3,66.66666666666666,33.33333333333333,34955929
warrior,3,66.66666666666666,33.33333333333333,34955929
mercy,1,0.0,100.0,457123526
jab,2,50.0,50.0,16077441
jab,2,50.0,50.0,33831682
goal,8,25.0,75.0,553480874
goal,8,25.0,75.0,553480874
goal,8,25.0,75.0,553480874
goal,8,25.0,75.0,553480874
goal,8,25.0,75.0,193192630
goal,8,25.0,75.0,2502484436
goal,8,25.0,75.0,20415005
goal,8,25.0,75.0,553480874
lawlessness,2,0.0,100.0,16579411
lawlessness,2,0.0,100.0,16579411
senate,5,0.0,100.0,16579411
senate,5,0.0,100.0,3358621409
senate,5,0.0,100.0,16579411
senate,5,0.0,100.0,193192630
senate,5,0.0,100.0,33831682
senatemajldr,2,50.0,50.0,553480874
senatemajldr,2,50.0,50.0,16579411
progressivism,1,0.0,100.0,107801651
speechifying,2,0.0,100.0,355258993
speechifying,2,0.0,100.0,355258993
moran,1,0.0,100.0,3352331979
inauguration,1,0.0,100.0,30980826
assistants,1,0.0,100.0,2447898228
cheers,1,100.0,0.0,20415005
gordongchang,1,0.0,100.0,56838981
vet,2,0.0,100.0,3311276608
vet,2,0.0,100.0,56838981
trial,2,0.0,100.0,904176902
trial,2,0.0,100.0,553480874
positive,1,0.0,100.0,2447898228
jtimberlake,1,100.0,0.0,1659062558
calls,1,0.0,100.0,887569722
evergreen,1,0.0,100.0,553480874
yawn,1,100.0,0.0,30980826
trumptrain,1,0.0,100.0,34955929
football,1,0.0,100.0,56838981
nutcrackers,1,0.0,100.0,33831682
yrolds,1,0.0,100.0,2447898228
christie,5,0.0,100.0,292684762
christie,5,0.0,100.0,20415005
christie,5,0.0,100.0,224333112
christie,5,0.0,100.0,20415005
christie,5,0.0,100.0,20415005
veteran,2,0.0,100.0,887569722
veteran,2,0.0,100.0,553480874
basement,4,0.0,100.0,33831682
basement,4,0.0,100.0,33831682
basement,4,0.0,100.0,33831682
basement,4,0.0,100.0,56838981
reason,18,0.0,100.0,1613729870
reason,18,0.0,100.0,374289688
reason,18,0.0,100.0,56838981
reason,18,0.0,100.0,2869158160
reason,18,0.0,100.0,753498337
reason,18,0.0,100.0,16579411
reason,18,0.0,100.0,753498337
reason,18,0.0,100.0,16579411
reason,18,0.0,100.0,1613729870
reason,18,0.0,100.0,863113304
reason,18,0.0,100.0,374289688
reason,18,0.0,100.0,16579411
reason,18,0.0,100.0,457123526
reason,18,0.0,100.0,20415005
reason,18,0.0,100.0,16579411
reason,18,0.0,100.0,2447898228
reason,18,0.0,100.0,92643660
reason,18,0.0,100.0,553480874
pundits,4,0.0,100.0,20415005
pundits,4,0.0,100.0,20415005
pundits,4,0.0,100.0,20415005
pundits,4,0.0,100.0,1616176478
peotus,3,33.33333333333333,66.66666666666666,92643660
peotus,3,33.33333333333333,66.66666666666666,92643660
peotus,3,33.33333333333333,66.66666666666666,92643660
creation,1,0.0,100.0,553480874
machine,3,0.0,100.0,553480874
machine,3,0.0,100.0,27944341
machine,3,0.0,100.0,56838981
ivotedred,2,0.0,100.0,56838981
ivotedred,2,0.0,100.0,56838981
harassment,3,0.0,100.0,553480874
harassment,3,0.0,100.0,457123526
harassment,3,0.0,100.0,193192630
mirror,1,0.0,100.0,3358621409
consist,1,0.0,100.0,80605638
chance,9,0.0,100.0,56838981
chance,9,0.0,100.0,16579411
chance,9,0.0,100.0,1430129144
chance,9,0.0,100.0,20415005
chance,9,0.0,100.0,457123526
chance,9,0.0,100.0,567649661
chance,9,0.0,100.0,887569722
chance,9,0.0,100.0,938528232
chance,9,0.0,100.0,33831682
teacher,1,0.0,100.0,16579411
birthday,3,66.66666666666666,33.33333333333333,1697810262
birthday,3,66.66666666666666,33.33333333333333,57461026
birthday,3,66.66666666666666,33.33333333333333,92643660
shams,1,0.0,100.0,553480874
fools,11,0.0,100.0,553480874
fools,11,0.0,100.0,565501978
fools,11,0.0,100.0,56838981
fools,11,0.0,100.0,56838981
fools,11,0.0,100.0,2421964502
fools,11,0.0,100.0,16579411
fools,11,0.0,100.0,565501978
fools,11,0.0,100.0,565501978
fools,11,0.0,100.0,193192630
fools,11,0.0,100.0,553480874
fools,11,0.0,100.0,56838981
domination,2,50.0,50.0,3311276608
domination,2,50.0,50.0,865780110
coreystewartva,1,0.0,100.0,92643660
leader,17,41.17647058823529,58.82352941176471,48240104
leader,17,41.17647058823529,58.82352941176471,2869158160
leader,17,41.17647058823529,58.82352941176471,48240104
leader,17,41.17647058823529,58.82352941176471,48240104
leader,17,41.17647058823529,58.82352941176471,30980826
leader,17,41.17647058823529,58.82352941176471,16579411
leader,17,41.17647058823529,58.82352941176471,193192630
leader,17,41.17647058823529,58.82352941176471,457123526
leader,17,41.17647058823529,58.82352941176471,20415005
leader,17,41.17647058823529,58.82352941176471,20415005
leader,17,41.17647058823529,58.82352941176471,30980826
leader,17,41.17647058823529,58.82352941176471,565501978
leader,17,41.17647058823529,58.82352941176471,30980826
leader,17,41.17647058823529,58.82352941176471,865780110
leader,17,41.17647058823529,58.82352941176471,16077441
leader,17,41.17647058823529,58.82352941176471,57461026
leader,17,41.17647058823529,58.82352941176471,33831682
censors,1,0.0,100.0,16579411
knees,1,0.0,100.0,33831682
gopcatlady,1,0.0,100.0,565501978
floyd,1,0.0,100.0,56838981
omalley,1,0.0,100.0,863113304
presumption,1,0.0,100.0,553480874
toro,1,0.0,100.0,3000593912
candidate,35,11.428571428571429,88.57142857142857,36864149
candidate,35,11.428571428571429,88.57142857142857,946406934
candidate,35,11.428571428571429,88.57142857142857,237754267
candidate,35,11.428571428571429,88.57142857142857,14314844
candidate,35,11.428571428571429,88.57142857142857,616303472
candidate,35,11.428571428571429,88.57142857142857,553480874
candidate,35,11.428571428571429,88.57142857142857,553480874
candidate,35,11.428571428571429,88.57142857142857,2869158160
candidate,35,11.428571428571429,88.57142857142857,457123526
candidate,35,11.428571428571429,88.57142857142857,16579411
candidate,35,11.428571428571429,88.57142857142857,36864149
candidate,35,11.428571428571429,88.57142857142857,237754267
candidate,35,11.428571428571429,88.57142857142857,14314844
candidate,35,11.428571428571429,88.57142857142857,616303472
candidate,35,11.428571428571429,88.57142857142857,193192630
candidate,35,11.428571428571429,88.57142857142857,1659062558
candidate,35,11.428571428571429,88.57142857142857,20415005
candidate,35,11.428571428571429,88.57142857142857,20415005
candidate,35,11.428571428571429,88.57142857142857,457123526
candidate,35,11.428571428571429,88.57142857142857,457123526
candidate,35,11.428571428571429,88.57142857142857,457123526
candidate,35,11.428571428571429,88.57142857142857,3311276608
candidate,35,11.428571428571429,88.57142857142857,565501978
candidate,35,11.428571428571429,88.57142857142857,565501978
candidate,35,11.428571428571429,88.57142857142857,1292620070
candidate,35,11.428571428571429,88.57142857142857,887569722
candidate,35,11.428571428571429,88.57142857142857,20415005
candidate,35,11.428571428571429,88.57142857142857,2842797465
candidate,35,11.428571428571429,88.57142857142857,49360369
candidate,35,11.428571428571429,88.57142857142857,2842797465
candidate,35,11.428571428571429,88.57142857142857,193192630
candidate,35,11.428571428571429,88.57142857142857,27944341
candidate,35,11.428571428571429,88.57142857142857,92643660
candidate,35,11.428571428571429,88.57142857142857,92643660
candidate,35,11.428571428571429,88.57142857142857,33831682
shades,1,0.0,100.0,57461026
heartattack,1,100.0,0.0,33831682
iran,11,0.0,100.0,539281570
iran,11,0.0,100.0,780291397
iran,11,0.0,100.0,565501978
iran,11,0.0,100.0,753498337
iran,11,0.0,100.0,27944341
iran,11,0.0,100.0,27944341
iran,11,0.0,100.0,863113304
iran,11,0.0,100.0,193192630
iran,11,0.0,100.0,20415005
iran,11,0.0,100.0,2447898228
iran,11,0.0,100.0,33831682
squad,1,0.0,100.0,20415005
jayz,1,0.0,100.0,56838981
editors,1,0.0,100.0,56838981
progressive,2,0.0,100.0,553480874
progressive,2,0.0,100.0,16579411
republicans,17,0.0,100.0,177584156
republicans,17,0.0,100.0,33437088
republicans,17,0.0,100.0,553480874
republicans,17,0.0,100.0,56838981
republicans,17,0.0,100.0,56838981
republicans,17,0.0,100.0,753498337
republicans,17,0.0,100.0,20415005
republicans,17,0.0,100.0,20415005
republicans,17,0.0,100.0,294431458
republicans,17,0.0,100.0,887569722
republicans,17,0.0,100.0,36864149
republicans,17,0.0,100.0,565501978
republicans,17,0.0,100.0,863113304
republicans,17,0.0,100.0,57461026
republicans,17,0.0,100.0,20415005
republicans,17,0.0,100.0,56838981
republicans,17,0.0,100.0,56838981
action,5,40.0,60.0,553480874
action,5,40.0,60.0,553480874
action,5,40.0,60.0,16579411
action,5,40.0,60.0,887569722
action,5,40.0,60.0,887569722
solution,1,0.0,100.0,16579411
haha,2,0.0,100.0,2447898228
haha,2,0.0,100.0,33831682
dope,3,0.0,100.0,20415005
dope,3,0.0,100.0,20415005
dope,3,0.0,100.0,3358621409
boot,2,0.0,100.0,205367013
boot,2,0.0,100.0,205367013
loaf,1,0.0,100.0,457123526
danscavino,1,100.0,0.0,865780110
attention,8,12.5,87.5,3255718752
attention,8,12.5,87.5,364324850
attention,8,12.5,87.5,56838981
attention,8,12.5,87.5,56838981
attention,8,12.5,87.5,3255718752
attention,8,12.5,87.5,364324850
attention,8,12.5,87.5,2447898228
attention,8,12.5,87.5,553480874
abomination,1,0.0,100.0,16579411
widows,1,0.0,100.0,1292620070
community,6,16.666666666666664,83.33333333333334,553480874
community,6,16.666666666666664,83.33333333333334,193192630
community,6,16.666666666666664,83.33333333333334,2447898228
community,6,16.666666666666664,83.33333333333334,2447898228
community,6,16.666666666666664,83.33333333333334,92643660
community,6,16.666666666666664,83.33333333333334,553480874
thugs,3,0.0,100.0,33831682
thugs,3,0.0,100.0,553480874
thugs,3,0.0,100.0,56838981
trump2016,95,57.89473684210527,42.10526315789473,48240104
trump2016,95,57.89473684210527,42.10526315789473,48240104
trump2016,95,57.89473684210527,42.10526315789473,48240104
trump2016,95,57.89473684210527,42.10526315789473,48240104
trump2016,95,57.89473684210527,42.10526315789473,457123526
trump2016,95,57.89473684210527,42.10526315789473,48240104
trump2016,95,57.89473684210527,42.10526315789473,48240104
trump2016,95,57.89473684210527,42.10526315789473,457123526
trump2016,95,57.89473684210527,42.10526315789473,457123526
trump2016,95,57.89473684210527,42.10526315789473,1574070996
trump2016,95,57.89473684210527,42.10526315789473,3352331979
trump2016,95,57.89473684210527,42.10526315789473,30980826
trump2016,95,57.89473684210527,42.10526315789473,457123526
trump2016,95,57.89473684210527,42.10526315789473,457123526
trump2016,95,57.89473684210527,42.10526315789473,457123526
trump2016,95,57.89473684210527,42.10526315789473,1659062558
trump2016,95,57.89473684210527,42.10526315789473,3358621409
trump2016,95,57.89473684210527,42.10526315789473,3358621409
trump2016,95,57.89473684210527,42.10526315789473,3358621409
trump2016,95,57.89473684210527,42.10526315789473,457123526
trump2016,95,57.89473684210527,42.10526315789473,3358621409
trump2016,95,57.89473684210527,42.10526315789473,3358621409
trump2016,95,57.89473684210527,42.10526315789473,3358621409
trump2016,95,57.89473684210527,42.10526315789473,3358621409
trump2016,95,57.89473684210527,42.10526315789473,3358621409
trump2016,95,57.89473684210527,42.10526315789473,457123526
trump2016,95,57.89473684210527,42.10526315789473,3358621409
trump2016,95,57.89473684210527,42.10526315789473,3358621409
trump2016,95,57.89473684210527,42.10526315789473,457123526
trump2016,95,57.89473684210527,42.10526315789473,3358621409
trump2016,95,57.89473684210527,42.10526315789473,457123526
trump2016,95,57.89473684210527,42.10526315789473,457123526
trump2016,95,57.89473684210527,42.10526315789473,2608084976
trump2016,95,57.89473684210527,42.10526315789473,2608084976
trump2016,95,57.89473684210527,42.10526315789473,457123526
trump2016,95,57.89473684210527,42.10526315789473,457123526
trump2016,95,57.89473684210527,42.10526315789473,357625948
trump2016,95,57.89473684210527,42.10526315789473,1430129144
trump2016,95,57.89473684210527,42.10526315789473,457123526
trump2016,95,57.89473684210527,42.10526315789473,3358621409
trump2016,95,57.89473684210527,42.10526315789473,1430129144
trump2016,95,57.89473684210527,42.10526315789473,887569722
trump2016,95,57.89473684210527,42.10526315789473,887569722
trump2016,95,57.89473684210527,42.10526315789473,457123526
trump2016,95,57.89473684210527,42.10526315789473,457123526
trump2016,95,57.89473684210527,42.10526315789473,457123526
trump2016,95,57.89473684210527,42.10526315789473,457123526
trump2016,95,57.89473684210527,42.10526315789473,457123526
trump2016,95,57.89473684210527,42.10526315789473,30980826
trump2016,95,57.89473684210527,42.10526315789473,1616176478
trump2016,95,57.89473684210527,42.10526315789473,3358621409
trump2016,95,57.89473684210527,42.10526315789473,30980826
trump2016,95,57.89473684210527,42.10526315789473,3311276608
trump2016,95,57.89473684210527,42.10526315789473,3358621409
trump2016,95,57.89473684210527,42.10526315789473,887569722
trump2016,95,57.89473684210527,42.10526315789473,23795703
trump2016,95,57.89473684210527,42.10526315789473,3311276608
trump2016,95,57.89473684210527,42.10526315789473,865780110
trump2016,95,57.89473684210527,42.10526315789473,357625948
trump2016,95,57.89473684210527,42.10526315789473,28913772
trump2016,95,57.89473684210527,42.10526315789473,887569722
trump2016,95,57.89473684210527,42.10526315789473,887569722
trump2016,95,57.89473684210527,42.10526315789473,887569722
trump2016,95,57.89473684210527,42.10526315789473,457123526
trump2016,95,57.89473684210527,42.10526315789473,457123526
trump2016,95,57.89473684210527,42.10526315789473,457123526
trump2016,95,57.89473684210527,42.10526315789473,865780110
trump2016,95,57.89473684210527,42.10526315789473,887569722
trump2016,95,57.89473684210527,42.10526315789473,887569722
trump2016,95,57.89473684210527,42.10526315789473,887569722
trump2016,95,57.89473684210527,42.10526315789473,20415005
trump2016,95,57.89473684210527,42.10526315789473,457123526
trump2016,95,57.89473684210527,42.10526315789473,457123526
trump2016,95,57.89473684210527,42.10526315789473,20415005
trump2016,95,57.89473684210527,42.10526315789473,2842797465
trump2016,95,57.89473684210527,42.10526315789473,457123526
trump2016,95,57.89473684210527,42.10526315789473,260277195
trump2016,95,57.89473684210527,42.10526315789473,3311276608
trump2016,95,57.89473684210527,42.10526315789473,457123526
trump2016,95,57.89473684210527,42.10526315789473,3311276608
trump2016,95,57.89473684210527,42.10526315789473,3311276608
trump2016,95,57.89473684210527,42.10526315789473,193192630
trump2016,95,57.89473684210527,42.10526315789473,224333112
trump2016,95,57.89473684210527,42.10526315789473,3311276608
trump2016,95,57.89473684210527,42.10526315789473,616303472
trump2016,95,57.89473684210527,42.10526315789473,34955929
trump2016,95,57.89473684210527,42.10526315789473,34955929
trump2016,95,57.89473684210527,42.10526315789473,34955929
trump2016,95,57.89473684210527,42.10526315789473,34955929
trump2016,95,57.89473684210527,42.10526315789473,34955929
trump2016,95,57.89473684210527,42.10526315789473,34955929
trump2016,95,57.89473684210527,42.10526315789473,34955929
trump2016,95,57.89473684210527,42.10526315789473,34955929
trump2016,95,57.89473684210527,42.10526315789473,34955929
trump2016,95,57.89473684210527,42.10526315789473,34955929
fl,4,75.0,25.0,34955929
fl,4,75.0,25.0,34955929
fl,4,75.0,25.0,34955929
fl,4,75.0,25.0,34955929
corner,1,100.0,0.0,863113304
healthcare,2,0.0,100.0,553480874
healthcare,2,0.0,100.0,565501978
harry,1,0.0,100.0,33831682
guest,1,0.0,100.0,193192630
kate,1,100.0,0.0,753498337
deportations,1,0.0,100.0,87878811
uniteblue,1,100.0,0.0,193192630
country,176,19.318181818181817,80.68181818181817,57461026
country,176,19.318181818181817,80.68181818181817,16313440
country,176,19.318181818181817,80.68181818181817,56838981
country,176,19.318181818181817,80.68181818181817,103707227
country,176,19.318181818181817,80.68181818181817,1601491392
country,176,19.318181818181817,80.68181818181817,30980826
country,176,19.318181818181817,80.68181818181817,16579411
country,176,19.318181818181817,80.68181818181817,1323411324
country,176,19.318181818181817,80.68181818181817,887569722
country,176,19.318181818181817,80.68181818181817,49360369
country,176,19.318181818181817,80.68181818181817,590180745
country,176,19.318181818181817,80.68181818181817,1430129144
country,176,19.318181818181817,80.68181818181817,553480874
country,176,19.318181818181817,80.68181818181817,56838981
country,176,19.318181818181817,80.68181818181817,56838981
country,176,19.318181818181817,80.68181818181817,56838981
country,176,19.318181818181817,80.68181818181817,56838981
country,176,19.318181818181817,80.68181818181817,56838981
country,176,19.318181818181817,80.68181818181817,565501978
country,176,19.318181818181817,80.68181818181817,553480874
country,176,19.318181818181817,80.68181818181817,553480874
country,176,19.318181818181817,80.68181818181817,553480874
country,176,19.318181818181817,80.68181818181817,553480874
country,176,19.318181818181817,80.68181818181817,553480874
country,176,19.318181818181817,80.68181818181817,56838981
country,176,19.318181818181817,80.68181818181817,56838981
country,176,19.318181818181817,80.68181818181817,56838981
country,176,19.318181818181817,80.68181818181817,56838981
country,176,19.318181818181817,80.68181818181817,56838981
country,176,19.318181818181817,80.68181818181817,56838981
country,176,19.318181818181817,80.68181818181817,56838981
country,176,19.318181818181817,80.68181818181817,56838981
country,176,19.318181818181817,80.68181818181817,56838981
country,176,19.318181818181817,80.68181818181817,56838981
country,176,19.318181818181817,80.68181818181817,92643660
country,176,19.318181818181817,80.68181818181817,56838981
country,176,19.318181818181817,80.68181818181817,56838981
country,176,19.318181818181817,80.68181818181817,56838981
country,176,19.318181818181817,80.68181818181817,56838981
country,176,19.318181818181817,80.68181818181817,56838981
country,176,19.318181818181817,80.68181818181817,553480874
country,176,19.318181818181817,80.68181818181817,553480874
country,176,19.318181818181817,80.68181818181817,553480874
country,176,19.318181818181817,80.68181818181817,553480874
country,176,19.318181818181817,80.68181818181817,56838981
country,176,19.318181818181817,80.68181818181817,56838981
country,176,19.318181818181817,80.68181818181817,553480874
country,176,19.318181818181817,80.68181818181817,56838981
country,176,19.318181818181817,80.68181818181817,553480874
country,176,19.318181818181817,80.68181818181817,553480874
country,176,19.318181818181817,80.68181818181817,553480874
country,176,19.318181818181817,80.68181818181817,48240104
country,176,19.318181818181817,80.68181818181817,48240104
country,176,19.318181818181817,80.68181818181817,27944341
country,176,19.318181818181817,80.68181818181817,48240104
country,176,19.318181818181817,80.68181818181817,565501978
country,176,19.318181818181817,80.68181818181817,27944341
country,176,19.318181818181817,80.68181818181817,57461026
country,176,19.318181818181817,80.68181818181817,565501978
country,176,19.318181818181817,80.68181818181817,20415005
country,176,19.318181818181817,80.68181818181817,457123526
country,176,19.318181818181817,80.68181818181817,3000593912
country,176,19.318181818181817,80.68181818181817,457123526
country,176,19.318181818181817,80.68181818181817,2421964502
country,176,19.318181818181817,80.68181818181817,753498337
country,176,19.318181818181817,80.68181818181817,2421964502
country,176,19.318181818181817,80.68181818181817,2869158160
country,176,19.318181818181817,80.68181818181817,57461026
country,176,19.318181818181817,80.68181818181817,80605638
country,176,19.318181818181817,80.68181818181817,16313440
country,176,19.318181818181817,80.68181818181817,103707227
country,176,19.318181818181817,80.68181818181817,863113304
country,176,19.318181818181817,80.68181818181817,1601491392
country,176,19.318181818181817,80.68181818181817,30980826
country,176,19.318181818181817,80.68181818181817,16579411
country,176,19.318181818181817,80.68181818181817,863113304
country,176,19.318181818181817,80.68181818181817,3352331979
country,176,19.318181818181817,80.68181818181817,1323411324
country,176,19.318181818181817,80.68181818181817,753498337
country,176,19.318181818181817,80.68181818181817,16579411
country,176,19.318181818181817,80.68181818181817,49360369
country,176,19.318181818181817,80.68181818181817,43958210
country,176,19.318181818181817,80.68181818181817,1430129144
country,176,19.318181818181817,80.68181818181817,3358621409
country,176,19.318181818181817,80.68181818181817,565501978
country,176,19.318181818181817,80.68181818181817,863113304
country,176,19.318181818181817,80.68181818181817,565501978
country,176,19.318181818181817,80.68181818181817,1430129144
country,176,19.318181818181817,80.68181818181817,1430129144
country,176,19.318181818181817,80.68181818181817,457123526
country,176,19.318181818181817,80.68181818181817,457123526
country,176,19.318181818181817,80.68181818181817,16579411
country,176,19.318181818181817,80.68181818181817,20415005
country,176,19.318181818181817,80.68181818181817,16579411
country,176,19.318181818181817,80.68181818181817,16579411
country,176,19.318181818181817,80.68181818181817,1430129144
country,176,19.318181818181817,80.68181818181817,16579411
country,176,19.318181818181817,80.68181818181817,1430129144
country,176,19.318181818181817,80.68181818181817,887569722
country,176,19.318181818181817,80.68181818181817,1430129144
country,176,19.318181818181817,80.68181818181817,457123526
country,176,19.318181818181817,80.68181818181817,16579411
country,176,19.318181818181817,80.68181818181817,1697810262
country,176,19.318181818181817,80.68181818181817,30980826
country,176,19.318181818181817,80.68181818181817,16579411
country,176,19.318181818181817,80.68181818181817,887569722
country,176,19.318181818181817,80.68181818181817,565501978
country,176,19.318181818181817,80.68181818181817,565501978
country,176,19.318181818181817,80.68181818181817,565501978
country,176,19.318181818181817,80.68181818181817,457123526
country,176,19.318181818181817,80.68181818181817,457123526
country,176,19.318181818181817,80.68181818181817,1430129144
country,176,19.318181818181817,80.68181818181817,1323411324
country,176,19.318181818181817,80.68181818181817,3311276608
country,176,19.318181818181817,80.68181818181817,30980826
country,176,19.318181818181817,80.68181818181817,3311276608
country,176,19.318181818181817,80.68181818181817,565501978
country,176,19.318181818181817,80.68181818181817,1430129144
country,176,19.318181818181817,80.68181818181817,565501978
country,176,19.318181818181817,80.68181818181817,57461026
country,176,19.318181818181817,80.68181818181817,565501978
country,176,19.318181818181817,80.68181818181817,565501978
country,176,19.318181818181817,80.68181818181817,1430129144
country,176,19.318181818181817,80.68181818181817,565501978
country,176,19.318181818181817,80.68181818181817,887569722
country,176,19.318181818181817,80.68181818181817,1430129144
country,176,19.318181818181817,80.68181818181817,20415005
country,176,19.318181818181817,80.68181818181817,16579411
country,176,19.318181818181817,80.68181818181817,1430129144
country,176,19.318181818181817,80.68181818181817,565501978
country,176,19.318181818181817,80.68181818181817,16579411
country,176,19.318181818181817,80.68181818181817,565501978
country,176,19.318181818181817,80.68181818181817,20415005
country,176,19.318181818181817,80.68181818181817,565501978
country,176,19.318181818181817,80.68181818181817,565501978
country,176,19.318181818181817,80.68181818181817,357625948
country,176,19.318181818181817,80.68181818181817,565501978
country,176,19.318181818181817,80.68181818181817,27944341
country,176,19.318181818181817,80.68181818181817,92643660
country,176,19.318181818181817,80.68181818181817,16579411
country,176,19.318181818181817,80.68181818181817,92643660
country,176,19.318181818181817,80.68181818181817,92643660
country,176,19.318181818181817,80.68181818181817,92643660
country,176,19.318181818181817,80.68181818181817,92643660
country,176,19.318181818181817,80.68181818181817,34955929
country,176,19.318181818181817,80.68181818181817,92643660
country,176,19.318181818181817,80.68181818181817,34955929
country,176,19.318181818181817,80.68181818181817,92643660
country,176,19.318181818181817,80.68181818181817,33831682
country,176,19.318181818181817,80.68181818181817,553480874
country,176,19.318181818181817,80.68181818181817,553480874
country,176,19.318181818181817,80.68181818181817,33831682
country,176,19.318181818181817,80.68181818181817,33831682
country,176,19.318181818181817,80.68181818181817,553480874
country,176,19.318181818181817,80.68181818181817,2447898228
country,176,19.318181818181817,80.68181818181817,565501978
country,176,19.318181818181817,80.68181818181817,2447898228
country,176,19.318181818181817,80.68181818181817,33831682
country,176,19.318181818181817,80.68181818181817,553480874
country,176,19.318181818181817,80.68181818181817,33831682
country,176,19.318181818181817,80.68181818181817,33831682
country,176,19.318181818181817,80.68181818181817,33831682
country,176,19.318181818181817,80.68181818181817,33831682
country,176,19.318181818181817,80.68181818181817,33831682
country,176,19.318181818181817,80.68181818181817,33831682
country,176,19.318181818181817,80.68181818181817,33831682
country,176,19.318181818181817,80.68181818181817,553480874
country,176,19.318181818181817,80.68181818181817,33831682
country,176,19.318181818181817,80.68181818181817,553480874
country,176,19.318181818181817,80.68181818181817,56838981
country,176,19.318181818181817,80.68181818181817,56838981
country,176,19.318181818181817,80.68181818181817,56838981
country,176,19.318181818181817,80.68181818181817,56838981
country,176,19.318181818181817,80.68181818181817,27944341
country,176,19.318181818181817,80.68181818181817,56838981
country,176,19.318181818181817,80.68181818181817,56838981
bread,1,0.0,100.0,553480874
lollipop,1,0.0,100.0,33831682
keys,5,0.0,100.0,178863237
keys,5,0.0,100.0,178863237
keys,5,0.0,100.0,178863237
keys,5,0.0,100.0,178863237
keys,5,0.0,100.0,178863237
tears,2,50.0,50.0,34955929
tears,2,50.0,50.0,56838981
question,16,0.0,100.0,553480874
question,16,0.0,100.0,553480874
question,16,0.0,100.0,553480874
question,16,0.0,100.0,20415005
question,16,0.0,100.0,20415005
question,16,0.0,100.0,887569722
question,16,0.0,100.0,887569722
question,16,0.0,100.0,887569722
question,16,0.0,100.0,24294066
question,16,0.0,100.0,193192630
question,16,0.0,100.0,20415005
question,16,0.0,100.0,887569722
question,16,0.0,100.0,887569722
question,16,0.0,100.0,887569722
question,16,0.0,100.0,16579411
question,16,0.0,100.0,57461026
panel,1,100.0,0.0,457123526
steam,2,100.0,0.0,28913772
steam,2,100.0,0.0,28913772
kasicko,1,0.0,100.0,33831682
eerts,1,0.0,100.0,457123526
lie,13,0.0,100.0,1292620070
lie,13,0.0,100.0,553480874
lie,13,0.0,100.0,56838981
lie,13,0.0,100.0,553480874
lie,13,0.0,100.0,553480874
lie,13,0.0,100.0,1292620070
lie,13,0.0,100.0,457123526
lie,13,0.0,100.0,457123526
lie,13,0.0,100.0,16579411
lie,13,0.0,100.0,565501978
lie,13,0.0,100.0,2447898228
lie,13,0.0,100.0,33831682
lie,13,0.0,100.0,33831682
racists,8,0.0,100.0,3141654004
racists,8,0.0,100.0,467767056
racists,8,0.0,100.0,193192630
racists,8,0.0,100.0,3141654004
racists,8,0.0,100.0,20415005
racists,8,0.0,100.0,2842797465
racists,8,0.0,100.0,193192630
racists,8,0.0,100.0,553480874
colonel,1,100.0,0.0,2502484436
plannedparenthood,1,0.0,100.0,193192630
rachel,1,0.0,100.0,33831682
presidents,1,0.0,100.0,56838981
1st,6,66.66666666666666,33.33333333333333,863113304
1st,6,66.66666666666666,33.33333333333333,1616176478
1st,6,66.66666666666666,33.33333333333333,3311276608
1st,6,66.66666666666666,33.33333333333333,193192630
1st,6,66.66666666666666,33.33333333333333,2447898228
1st,6,66.66666666666666,33.33333333333333,553480874
miami,2,100.0,0.0,34955929
